⑯⑴⒁②⑯⑵	abated
③⒈⑷⑬⑩⑹	carvings
③⑮⑥③⒁⑵	cascade
③⒁⑥⑼⒋③	casework
③⑮⑦④⑪⒄	cashflow
③⑯⑥⒀⑿⒄	casino
③⑳⑥③⑯②	casket
③⑮⑥⒌⒄⑪	casserole
③⑯⑥⑭②⑥	cassettes
③⑳⑥②⑬⑩	casting
③⑳⑥⑯⑪⑹	castles
③⑮⑺⑱⑯⑪	casual
③⒁②⒌⒌⑹	caterers
③⒁②⒌⑬⑩	catering
③⑮②④⑬⑦	catfish
③⑮②⑼⒇③	catwalk
③⒇⑥②⑬③	caustic
③⒇⑦⑯⑿⑵	cautioned
③⒇⑦⑯⑿⑹	cautions
③⑮⑷⑯⑪⒍	cavalier
③⑮⑷⑬⑮②	caveat
③⑮⑷⒌⑿⑹	caverns
③⑮⑷⑬②⑬	cavity
⑥⒀⑥④⒂⒌	ceasefire
⑥⒀⑥⑪⑯⑥	ceaseless
⑥⒀⑪⑬⑩⑹	ceilings
③⑭⑪②⑬③	celtic
⑥⑬⑫⑭⑿②	cement
⑥⑭⑿⑥⑯⑥	census
⑥⑭⑿②⒌⑵	centred
⑥⑭⑿②⒌⑹	centres
⑥⑭⑿⑧⒌⑬	century
⑥⒌⑮⑫⑬③	ceramic
⑥⒋②⑬④⒂	certify
⑥⒋⑷⑬③⑥	cervix
⑦⑮⑶⑾⑬⑿	chagrin
⑧⑮⑪⑯⑿⑻	challenge
⑧⒁⑫⑴⒌⑹	chambers
⑦⑮⑫①⒁⑿	champagne
⑧⑮⑫①⒎⑿	champion
⑧⑳⑿⑥⑯⑪	chancel
⑧⑳⑿⑥⒌⑬	chancery
⑧⑳⑿⑥⑯⑹	chances
⑧⒁⑿⑻⑯⑹	changes
⑧⒁⑿⑻⑬⑩	changing
⑧⑮⑿⑯⑪⑵	channelled
⑧⑮⑿⑯⑪⑹	channels
⑧⑳⑿②⑯⑵	chanted
⑧⑳⑿②⑬⑩	chanting
③⒁⑰②⑬③	chaotic
⑧⑮①⑯⑪⑹	chapels
⑧⑮①⑪⑬⑿	chaplain
⑧⑮①②⒌⑹	chapters
⑧⑮⑾⒎②⑥	chariots
③⒌⑬⑹⑫⑯	charisma
⑧⑮⑾⑬②⑬	charity
⑧⑮②⑯⑪⑹	chattels
⑧⑮②⒌⑬⑩	chattering
⑧⒀①⑯⑥②	cheapest
⑧⒀①⑿⑯⑥	cheapness
⑧⒀③⑴⒄⑿	cheekbone
⑧⒀③⑬⑪⑬	cheekily
⑧⒍④⑯⑪⑬	cheerfully
③⑭⑫⑬⑥②	chemist
⑧⑭⑾⑬⑦②	cherished
③⑬⑮⑿②⑬	chianti
⑧⑬③⑬⑿⑹	chickens
⑧⒀④②⑯⑿	chieftain
⑧⒂⑪⑵③⒊	childcare
⑧⒂⑪⑵⑬⑦	childish
⑧⑬⑫⑿⑬⑹	chimneys
⑧⑬①⑴⒉⑵	chipboard
⑧⑬①⑬⑩⑹	chippings
③⒉⑯⑥⑯⑹	choruses
③⑾⒄⑫⒎⑫	chromium
③⑾⑰⑿⑬③	chronic
⑧⒃③⑯⑪⑵	chuckled
⑧⒃③⑪⑬⑩	chuckling
⑧⒋⑧⑫⑯⑿	churchman
⑧⒋⑧⑫⑭⑿	churchmen
⑧⒋⑧⑨⒈⑵	churchyard
⑥⑬⑶⒌⑭②	cigarette
⑥⑬⑿⑯⑫⑯	cinema
⑥⒋③⑯⑪⑵	circled
⑥⒋③⑯⑪⑹	circles
⑥⒋③⑪⑬⑩	circling
⑥⒋③⑬②⑥	circuits
⑥⑬⑥②⒌⑿	cistern
⑥⑬②⑾⑯⑥	citrus
③⑪⑮⑵⑬⑩	cladding
③⑪⒁⑫⑬⑩	claiming
③⑪⑮⑫①②	clamped
③⑪⑮⑫①⑥	clamps
③⑪⑮①⑬⑩	clapping
③⑪⑮⑾⑯②	claret
③⑪⑮⑦⑯⑹	clashes
③⑪⑮⑦⑬⑩	clashing
③⑪⑳⑥①②	clasped
③⑪⑳⑥⑯⑹	classes
③⑪⑮⑥⑬③	classic
③⑪⑮②⒌⑵	clattered
③⑪⒇⑹⑯⑹	clauses
③⑪⒀⑿⒌⑹	cleaners
③⑪⒀⑿⑬⑩	cleaning
③⑪⒀⑿⑪⑬	cleanly
③⑪⑭⑿⑹⑵	cleansed
③⑪⒍⑯⑿⑥	clearance
③⑪⒍⑯⑥②	clearest
③⑪⒀⑷⑬⑻	cleavage
③⑪⑭⑿⑧②	clenched
③⑪⑭⑾⑬③	cleric
③⑪⑭⑷⒌⒌	cleverer
③⑪⒀⑦⒁⑹	cliches
③⑪⑬③⑬⑩	clicking
③⑪⒂⑯⑿②	client
③⑪⒂⑫⑯②	climate
③⑪⒂⑫⒌⑹	climbers
③⑪⒂⑫⑬⑩	climbing
③⑪⑬⑿⑧②	clinched
③⑪⑬⑩⑬⑩	clinging
③⑪⑬⑿⑬③	clinic
③⑪⑰③⑬⑩	clocking
③⑪⒆⑥②⒌	cloister
③⑪⒄⑥⑪⑬	closely
③⑪⒄⑹⑯⑹	closes
③⑪⑰⑹⑯②	closet
③⑪⒄⑹⑬⑩	closing
③⑪⒄⑺⒌⑹	closures
③⑪⒄⑸⒍⑹	clothiers
③⑪⒄⑸⑬⑩	clothing
③⑪⑲⑵⑯⑵	clouded
③⑪⒃⑫①⑥	clumps
③⑪⒃⑫⑹⑬	clumsy
③⑪⒃⑥②⒌	cluster
③⑪⒃⑧⑯⑹	clutches
③⑪⒃⑧⑬⑩	clutching
③⒄⑧⑫⑯⑿	coachman
③⒄⑥②⑯⑪	coastal
③⒄②⑬⑩⑹	coatings
③⒄③⑥⑬⑩	coaxing
③⒄⑴⒇⑪②	cobalt
③⑰⑴⑯⑪⑵	cobbled
③⑰⑴⑪⒌⑹	cobblers
③⑰⑴⑯⑪⑹	cobbles
③⑰⑴⑼⑭⑴	cobweb
③⑰③⒌⑯⑪	cockerel
③⑰③①⑬②	cockpit
③⑰③②⒁⑪	cocktail
③⒄⒋⑦⑯⑿	coercion
③⒄⒋⑥⑬⑷	coercive
③⑰④⑬⑿⑹	coffins
③⒄⑻⑯⑿②	cogent
③⑰⑿⑨⑮③	cognac
③⒄⑽⒉②⑥	cohorts
③⒄⑪⑵⑪⑬	coldly
③⑯⑪⑮①⑥	collapse
③⑰⑪⒀⑶⑹	colleagues
③⑯⑪⑭③②	collect
③⑰⑪⑨⒌⑬	colliery
③⒋⑿⑯⑪⑹	colonels
③⑰⑪⑯⑿⑬	colony
③⒃⑪⒌⑬⑩	colouring
③⑰⑪⑯⑫⑹	columns
③⑯⑫⑴⑮②	combat
③⑰⑫⑴⑮②	combat
③⑯⑫⑴⒂⑿	combine
③⑰⑫⑴⒂⑿	combine
③⒃⑫⑴⑮③	comeback
③⑰⑫⑯⑵⑬	comedy
③⑰⑫⑯②⑥	comets
③⒃⑫④⒌②	comfort
③⑰⑫⑬③⑥	comics
③⒃⑫⑬⑩⑹	comings
③⑯⑫⑳⑿⑵	command
③⑯⑫⑭⑿⑥	commence
③⑯⑫⑭⑿⑵	commend
③⑰⑫⑭⑿②	comment
③⑯⑫⑬②⑥	commits
③⑰⑫⑯⑵⒉	commodore
③⑰⑫⑯⑿⒌	commoner
③⑰⑫⒏⑿⑹	communes
③⑯⑫⒏②⒌	commuter
③⑯⑫①⒊⑵	compared
③⑯⑫①⒊⑹	compares
③⒃⑫①⑯⑥	compass
③⑯⑫①⑭⑪	compel
③⑯⑫①⒀②	compete
③⑯⑫①⒂⑪	compile
③⑯⑫①⑪⒂	comply
③⑯⑫①⒄⑹	compose
③⑯⑫①⒏②	compute
③⑰⑫⑾⒁⑵	comrade
③⑰⑿③⒁⑷	concave
③⑯⑿⑥⒀⑪	conceal
③⑯⑿⑥⒀⑵	concede
③⑯⑿⑥⒀②	conceit
③⑯⑿⑥⒀⑷	conceive
③⑯⑿⑥⒋⑿	concern
③⑰⑿⑥⒌②	concert
③⑯⑿⑥⒂⑥	concise
③⑰⑿③⒉⑵	concord
③⑰⑿③⒉⑥	concourse
③⑯⑿③⒋⑵	concurred
③⑯⑿⑵⑭⑫	condemn
③⑰⑿⑵⑰⑫	condom
③⑯⑿⑵⒄⑿	condone
③⑯⑿④⒋⑵	conferred
③⑯⑿④⒋⑹	confers
③⑯⑿④⑭⑥	confess
③⑯⑿④⒂⑵	confide
③⑯⑿④⒂⑿	confine
③⑯⑿④⒋⑫	confirm
③⑯⑿④⒉⑫	conform
③⑯⑿④⒏⑹	confuse
③⑰⑿⑬④⒌	conifer
③⒃⑿⑻⒌⑵	conjured
③⒃⑿⑻⒌⑹	conjures
③⑯⑿⑭③②	connect
③⑰⑿⑯⑥⒋	connoisseur
③⑰⑩③⒌⑵	conquered
③⑰⑩③⒌⒌	conqueror
③⑰⑿⑦⑯⑥	conscious
③⑯⑿⑥⒋⑷	conserve
③⑯⑿⑥⒄⑪	console
③⑰⑿⑥⒄⑪	console
③⑰⑿⑥⒉②	consort
③⑰⑿⑥⑯⑪	consul
③⑯⑿⑥⒏⑫	consume
③⑯⑿②⒁⑿	contain
③⑰⑿②⑱⒌	contour
③⑯⑿⑷⒀⑿	convene
③⑯⑿⑷⒋⑻	converge
③⑯⑿⑷⒋⑥	converse
③⑰⑿⑷⒋⑥	converse
③⑯⑿⑷⒋②	convert
③⑰⑿⑷⒋②	convert
③⑯⑿⑷⒁⑵	conveyed
③⑯⑿⑷⒁⒌	conveyor
③⑯⑿⑷⒁⑹	conveys
③⑰⑿⑷⒆⑹	convoys
③⒅⑪⑿⑯⑥	coolness
③⑰①⑬⑬⑩	copying
③⑰⑾⑯⑪⑹	corals
③⒉⑵⒎⑪⑬	cordially
③⒌⑰⑪⒌⑬	corollary
③⑰⑾⑯⑿⒌	coroner
③⒉①⒌⑯⑪	corporal
③⒉①⒌⑯②	corporate
③⒉①⑥⑯⑹	corpses
③⑰⑾⑬⑵⒉	corridor
③⒌⒄⑺⑯⑿	corrosion
③⒌⒄⑥⑬⑷	corrosive
③⒉②⑭③⑥	cortex
③⑰⑹⑫⑬③	cosmic
③⑰⑹⑫⑰⑥	cosmos
③⑰⑥②⑯⑵	costed
③⑰⑥②⑬⑩	costing
③⑰⑥②⑪⑬	costly
③⑰⑥②⒏⑫	costume
③⑲⑿⑥⑯⑪	counsel
③⑲⑿②⑯⑵	counted
③⑲⑿②⒌⑵	countered
③⑲⑿②⒌⑹	counters
③⑲⑿②⑭⑥	countess
③⑲⑿②⑬⑹	counties
③⑲⑿②⑬⑩	counting
③⒃⑿②⑾⑬	country
③⒃①⑯⑪⑵	coupled
③⒃①⑯⑪⑹	couples
③⒃①⑪⑯②	couplet
③⒃①⑪⑬⑩	coupling
③⒅①⑰⑿⑹	coupons
③⒌⒁⑻⑯⑥	courageous
③⒉⑺⑭②⑥	courgettes
③⒉⑥⑼⒋③	coursework
③⒋②⑯⑥⑬	courtesy
③⒉②⑽⑲⑥	courthouse
③⒉②⑾⒅⑫	courtroom
③⒉②⑦⑬①	courtship
③⒉②⑨⒈⑵	courtyard
③⒃⑹⑯⑿⑹	cousins
③⒃⑷⒌⑬⑻	coverage
③⒃⑷⒌⑬⑩	covering
③⑲⒌⑵⑬⑥	cowardice
③⑲⒌⑵⑪⑬	cowardly
③⑾⑮③⒌⑹	crackers
③⑾⑮③⑬⑩	cracking
③⑾⑮③⑯⑪	crackle
③⑾⒁⑵⑯⑪	cradle
③⑾⑳④②⑥	crafts
③⑾⑳④②⑬	crafty
③⑾⑮⑫⑬⑩	cramming
③⑾⑮⑫①②	cramped
③⑾⑮⑫①⑥	cramps
③⑾⒁⑿⒎⑪	cranial
③⑾⒁⑿⑬⑩	craning
③⑾⑮⑩③⑬	cranky
③⑾⑮⑿⑬⑹	crannies
③⑾⑮⑦⑯⑹	crashes
③⑾⑮⑦⑬⑩	crashing
③⑾⒁②⒌⑹	craters
③⑾⒇⑪⑬⑩	crawling
③⑾⒁⑰⑿⑹	crayons
③⑾⒀③⑬⑩	creaking
③⑾⒀⑥⑯⑹	creases
③⑾⑬⒁②⑥	creates
③⑾⑬⒁②⒌	creator
③⑾⒀⑧⒌⑹	creatures
③⑾⑭⑵⑬②	credit
③⑾⒀①⒌⑹	creepers
③⑾⒀①⑬⑩	creeping
③⑾⑭⑥②⑥	crests
③⑾⑭⑷⑬⑥	crevice
③⑾⒅⑫⑯⑿	crewman
③⑾⒅⑫⑭⑿	crewmen
③⑾⑬③⑯②	cricket
③⑾⑬⑿⑻⑵	cringed
③⑾⑬①⑯⑪	cripple
③⑾⒂⑥⒀⑹	crises
③⑾⒂⑥⑬⑥	crisis
③⑾⑬⑥①⑥	crisps
③⑾⒂②⒍⒎	criteria
③⑾⑬②⑬③	critic
③⑾⑬②⒀③	critique
③⑾⑰③⒌⑬	crockery
③⑾⑰④②⑥	crofts
③⑾⒄⑿⑬⑹	cronies
③⑾⑱③⑯⑵	crooked
③⑾⑰①⑬⑩	cropping
③⑾⑰⑥⑴⒈	crossbar
③⑾⑰⑥⑴⒄	crossbow
③⑾⑰⑥⑯⑹	crosses
③⑾⑰⑥⑬⑩	crossing
③⑾⑰⑥⑪⑬	crossly
③⑾⑲⑧⑬⑩	crouching
③⑾⑲⑵⑯⑵	crowded
③⑾⑲⑵⑬⑩	crowding
③⑾⒅⑦⑯⑪	crucial
③⑾⒅⑵⑪⑬	crudely
③⑾⒅⑯⑪⑬	cruelly
③⑾⒅⑹⒌⑹	cruisers
③⑾⒅⑹⑯⑹	cruises
③⑾⒅⑹⑬⑩	cruising
③⑾⒃⑿⑧②	crunched
③⑾⒅⑥⒁⑵	crusade
③⑾⒃⑦⑬⑩	crushing
③⑾⒃⑥②⑥	crusts
③⑾⒃⑥②⑬	crusty
③⑾⒃⑧⑯⑹	crutches
③⑾⑬①②⑥	crypts
③⒏⑴⑯⑿⑹	cubans
③⒏⑴⑬⑥②	cubist
③⒃⑵⑯⑪⑵	cuddled
③⒃⑵⑪⑬⑩	cuddling
③⑼⑬⑹⒀⑿	cuisine
③⒃⑪⑧⒌⑵	cultured
③⒃⑪⑧⒌⑹	cultures
③⒃⑪⑷⒌②	culvert
③⒃⑴⒌⑵⑹	cupboards
③⒏①⑯⑪⑯	cupola
③⑨⑱⒌⑯②	curate
③⑨⑱⒌⒁⑹	cures
③⑨⑱⒌⑬⑩	curing
③⑨⑱⒌⒎⑥	curious
③⒃⑾⑯⑿②	current
③⒋②⒁⑪⑵	curtailed
③⒋②⑯⑿⑹	curtains
③⒋⑷⑯⑧⒌	curvature
③⑱⑦⑯⑿⑵	cushioned
③⑱⑦⑯⑿⑹	cushions
③⒃⑥②⒌⑵	custard
③⒃⑥②⑯⑫	custom
③⒃②⑴⑮③	cutback
③⒃②⑪⒌⑬	cutlery
③⒃②⑬⑩⑹	cuttings
⑥⒂⑯⑿⒂⑵	cyanide
⑥⒂③⑯⑪⑵	cycled
⑥⒂③⑯⑪⑹	cycles
⑥⒂③⑪⑬③	cyclic
⑥⒂③⑪⑬⑩	cycling
⑥⒂③⑪⒄⑿	cyclone
⑥⑬⑿⑬③⑥	cynics
⑥⑬①⑾⒎②	cypriot
⑵⑮⑴⑪⑬⑩	dabbling
⑵⒀⑫⑯⑿⑹	demons
⑵⑮⑫⑬⑻⑵	damaged
⑵⑮⑫⑯⑥③	damask
⑵⑮⑫①⑯⑿	dampen
⑵⑮⑫⑹⑯⑪	damsel
⑵⑳⑿⑥⒌⑹	dancers
⑵⑳⑿⑥⑯⑹	dances
⑵⑳⑿⑥⑬⑩	dancing
⑵⒁⑿⑻⒌⑹	dangers
⑵⑮①⑯⑪⑵	dappled
⑵⒈③⑯⑿⑵	darkened
⑵⒈③⑯⑥②	darkest
⑵⒈③⑿⑯⑥	darkness
⑵⒈③⑾⒅⑫	darkroom
⑵⒈⑪⑬⑩⑹	darlings
⑵⑮⑦⑴⒉⑵	dashboard
⑵⒇⑿②⑬⑩	daunting
⑵⑮⑹⑯⑪⑵	dazzled
⑵⑮⑹⑪⑬⑩	dazzling
⑵⒀③⑯⑿⑹	deacons
⑵⑭⑵⑪⒂⑿	deadline
⑵⑭⑵⑪⑰③	deadlock
⑵⑭⑵①⑮⑿	deadpan
⑵⑭④⑿⑯⑥	deafness
⑵⒀⑪⑬⑩⑹	dealings
⑵⑭⑤⑴⑭⑵	deathbed
⑵⑬⑴⒁②⑥	debates
⑵⑭⑴⑬②⑥	debits
⑵⑭⑴⑯⑿⒊	debonair
⑵⑭③⒁⑵⑹	decades
⑵⑬③⒁⑬⑩	decaying
⑵⑬⑥⒀⑥②	deceased
⑵⑬⑥⒀⑷⑵	deceived
⑵⒀⑥⑯⑿②	decent
⑵⑬⑥⒂⑵⒌	decider
⑵⑬⑥⒂⑵⑹	decides
⑵⑬⑥⒂④⒌	decipher
⑵⑬③⑪⒊⑵	declared
⑵⑬③⑪⒊⑹	declares
⑵⑬③⑪⒂⑿	decline
⑵⑭③⒌⒁②	decorate
⑵⑬③⒉⑯⑫	decorum
⑵⑬③⑾⒀⑥	decrease
⑵⒀③⑾⒀⑥	decrease
⑵⑬③⑾⒀⑵	decreed
⑵⑬③⑾⒀⑹	decrees
⑵⑬⑵⒏⑥②	deduced
⑵⑬⑵⒃③②	deduct
⑵⒀①⑯⑿⑵	deepened
⑵⒀①⑯⑿⑹	deepens
⑵⒀①⑯⑥②	deepest
⑵⑬④⒇⑪②	default
⑵⑬④⒀②⑥	defeats
⑵⑬④⑭③②	defect
⑵⒀④⑭③②	defect
⑵⑬④⑭⑿⑥	defence
⑵⑬④⑭⑿⑵	defend
⑵⑬④⒋⑬⑩	deferring
⑵⑬④⒂⑿⑵	defined
⑵⑬④⒂⑿⑹	defines
⑵⑬④⒉⑫⑵	deformed
⑵⑬④⑾⒇⑵	defraud
⑵⑭④②⑪⑬	deftly
⑵⑬④⒂⑬⑩	defying
⑵⑬⑶⑾⒁⑵	degrade
⑵⑬⑶⑾⒀⑹	degrees
⑵⒀⑬②⑬⑹	deities
⑵⑬⑪⒁⑬⑩	delaying
⑵⑬⑪⒂②⑥	delights
⑵⑬⑪⑬⑷⒌	deliver
⑵⑭⑪⑷⑬⑩	delving
⑵⑬⑫⑳⑿⑵	demand
⑵⑬⑫⒀⑿⒌	demeanour
⑵⑬⑫⑨⑱⒌	demure
⑵⑬⑿⒂⑯⑪	denial
⑵⑭⑿⑬⑫⑹	denims
⑵⑬⑿⒄②⑥	denotes
⑵⑬⑿⑲⑿⑥	denounce
⑵⑭⑿⑥⑪⑬	densely
⑵⑭⑿②⑯⑪	dental
⑵⑭⑿②⑯⑵	dented
⑵⑭⑿⑧⒌⑹	dentures
⑵⑬⑿⒂⑬⑩	denying
⑵⑬①⒈②⑥	departs
⑵⑬①⒈⑧⒌	departure
⑵⑬①⑭⑿⑵	depend
⑵⑬①⑬③②	depict
⑵⑬①⑪⒉⑵	deplored
⑵⑬①⑪⒆⑵	deployed
⑵⑬①⒄⑹⑵	deposed
⑵⑬①⑾⑭⑥	depress
⑵⑬①⑾⒂⑷	deprive
⑵⑬⑾⒂⑷⑵	derived
⑵⑬⑾⒂⑷⑹	derives
⑵⑬⑥⑭⑿⑵	descend
⑵⑬⑥⑭⑿②	descent
⑵⑬⑹⒋②⑥	deserts
⑵⑭⑹⒌②⑥	deserts
⑵⑬⑹⒋⑷⑵	deserved
⑵⑬⑹⒋⑷⑹	deserves
⑵⑬⑹⒂⑿⑵	designed
⑵⑬⑹⒂⑿⒌	designer
⑵⑬⑹⒂⑿⑹	designs
⑵⑬⑹⒂⒌⑵	desired
⑵⑬⑹⒂⒌⑹	desires
⑵⑬⑹⑬⑥②	desist
⑵⑬⑥①⑮⑧	despatch
⑵⑬⑥①⒂⑹	despise
⑵⑬⑥①⒂②	despite
⑵⑬⑥②⑾⒆	destroy
⑵⑬②⑮⑧②	detached
⑵⒀②⒁⑪⑵	detailed
⑵⒀②⒁⑪⑹	details
⑵⑬②⒁⑿⑵	detained
⑵⑬②⑭③②	detect
⑵⑬②⑭⑥②	detest
⑵⒆⑧⑫⒈③	deutschmark
⑵⒀⑷⑮⑪⒏	devalue
⑵⒀⑷⒎⑿⑥	deviance
⑵⒀⑷⒎⑿②	deviant
⑵⒀⑷⑬⒁②	deviate
⑵⑭⑷⑯⑪⑹	devils
⑵⑬⑷⒂⑹⑵	devised
⑵⑬⑷⑰⑪⑷	devolve
⑵⑭⑷⑯②⒀	devotee
⑵⑬⑷⒄②⑥	devotes
⑵⑬⑷⑲⒌⑵	devoured
⑵⒂⑯⑪⑬⑩	dialling
⑵⒂⑯⑪⑰⑶	dialogue
⑵⒂⒌⑬⑥②	diarist
⑵⑬③⑬⑿⑹	dickens
⑵⑬③②⒁②	dictate
⑵⑬③⑦⑯⑿	diction
⑵⑬③②⑯⑫	dictum
⑵⒀⑹⑯⑪⑹	diesels
⑵⒂⑯②⒌⑬	dietary
⑵⒂⑯②⑬⑩	dieting
⑵⑬④⒌⑬⑩	differing
⑵⑬④⒏⑹⑵	diffused
⑵⒂⑻⑭⑥②	digest
⑵⑬⑻⑬②⑥	digits
⑵⑬⑪⑭⑫⑯	dilemma
⑵⑬⑫⑿⑯⑥	dimness
⑵⑬⑩⑶⑬⑹	dinghies
⑵⒂⑿⑯⑥⒉	dinosaur
⑵⒂⑯⑥⑬⑥	diocese
⑵⑬④⑤⒍⒎	diphtheria
⑵⑬⑾⑭③②	direct
⑵⑬⑥⑯①⒍	disappear
⑵⑬⑥⒈⑫⑵	disarmed
⑵⑬⑥③⒈⑵	discard
⑵⑬⑥⒋⑿⑵	discerned
⑵⑬⑥⑧⒈⑻	discharge
⑵⑬⑥③⒉⑵	discord
⑵⑬⑥③⒄⑹	discos
⑵⑬⑥③⒉⑥	discourse
⑵⑬⑥③⑯⑥	discus
⑵⑬⑥③⒃⑥	discuss
⑵⑬⑥⑵⒁⑿	disdain
⑵⑬⑹⒀⑹⑵	diseased
⑵⑬⑥⑶⒂⑹	disguise
⑵⑬⑥⑪⒂③	dislike
⑵⑬⑥⑪⑰⑻	dislodge
⑵⑬⑹⑫⑯⑪	dismal
⑵⑬⑥⑫⒁⑵	dismayed
⑵⑬⑥⑫⑬⑥	dismiss
⑵⑬⑥⒉⑵⒌	disorder
⑵⑬⑥①⑭⑪	dispel
⑵⑬⑥①⒋⑥	disperse
⑵⑬⑥①⑪⒁	display
⑵⑬⑥①⒄⑹	dispose
⑵⑬⑥①⒏②	dispute
⑵⑬⑹⑰⑪⑷	dissolve
⑵⑬⑥⑼⒁⑵	dissuade
⑵⑬⑥②⒉②	distort
⑵⑬⑥②⒋⑴	disturb
⑵⑬⑥⒏⑹⑵	disused
⑵⒂⒋⑿⑯⑪	diurnal
⑵⑬⑷⒂⑵⒌	divider
⑵⑬⑷⒂⑵⑹	divides
⑵⑬⑷⒉⑥②	divorced
⑵⒂⑷⒃⑪⑻	divulge
⑵⑰③⑨⒈⑵	dockyard
⑵⑰③②⒌⑹	doctors
⑵⑰⑶⑫⑯⑹	dogmas
⑵⒄⑪④⑯⑪	doleful
⑵⑰⑪④⑬⑿	dolphin
⑵⒄⑫⒁⑿⑹	domains
⑵⑰⑫⑬⑿⒄	domino
⑵⑰⑩③⑬⑹	donkeys
⑵⒉⑥②⑭①	doorstep
⑵⒉⑫⑯⑿②	dormant
⑵⒃⑴⑯⑪⑵	doubled
⑵⒃⑴⑯⑪⑹	doubles
⑵⒃⑴⑪⑬⑩	doubling
⑵⑲②④⑯⑪	doubtful
⑵⑲②⑪⑯⑥	doubtless
⑵⒄⑿⒃②⑥	doughnuts
⑵⑲⑿④⒇⑪	downfall
⑵⑲⑿⑽⑬⑪	downhill
⑵⑲⑿⑾⒂②	downright
⑵⑲⑿⑥⒂⑵	downside
⑵⑲⑿②⑲⑿	downtown
⑵⑲⑿②⒋⑿	downturn
⑵⑲⑿⑼⒌⑵	downward
⑵⑾⑳④②⑥	drafts
⑵⑾⑮⑶⑬⑩	dragging
⑵⑾⑮⑶⑯⑿	dragon
⑵⑾⒁⑿⑬⑻	drainage
⑵⑾⒁⑿⑬⑩	draining
⑵⑾⑳⑫⑯⑹	dramas
⑵⑾⒁①⒌⑬	drapery
⑵⑾⑳④②⑬	draughty
⑵⑾⒇⑴⑮③	drawback
⑵⑾⒇⑬⑩⑹	drawings
⑵⑾⑭⑵⑯⑵	dreaded
⑵⑾⑭⑵⑬⑩	dreading
⑵⑾⒀⑫⒌⑹	dreamers
⑵⑾⒀⑫⑬⑩	dreaming
⑵⑾⑭⑻⑬⑩	dredging
⑵⑾⑭⑿⑧②	drenched
⑵⑾⑭⑥⑳⑺	dressage
⑵⑾⑭⑥⑯⑹	dresses
⑵⑾⑭⑥⑬⑩	dressing
⑵⑾⑬④②⑥	drifts
⑵⑾⑬⑪⑬⑩	drilling
⑵⑾⑬⑩③⒌	drinker
⑵⑾⑬⑩③⑥	drinks
⑵⑾⑬①⑬⑩	dripping
⑵⑾⑬⑷⑯⑿	driven
⑵⑾⒂⑷⒌⑹	drivers
⑵⑾⒂⑷⑼⒁	driveway
⑵⑾⒂⑷⑬⑩	driving
⑵⑾⑬⑹⑯⑪	drizzle
⑵⑾⒅①⑬⑩	drooping
⑵⑾⑰①⑬⑩	dropping
⑵⑾⑲⑿⑬⑩	drowning
⑵⑾⒃⑻⒌⑬	drudgery
⑵⑾⒅⑬⑵⑹	druids
⑵⑾⒃⑫⒌⑹	drummers
⑵⑾⒃⑫⑬⑩	drumming
⑵⑾⒃⑩③⑥	drunks
⑵⑾⒂⑿⑯⑥	dryness
⑵⒃③⑪⑬⑩	duckling
⑵⒃⑪⑿⑯⑥	dullness
⑵⒃⑫①⑬⑩	dumping
⑵⒃⑿⑻⑯⑿	dungeon
⑵⑨⑱⒌⑭⑥	duress
⑵⑨⑱⒌⑬⑩	during
⑵⒃⑥②⑯⑵	dusted
⑵⒃⑥②⑬⑩	dusting
⑵⒃⑧⑫⑯⑿	dutchman
⑵⑼⑭⑪⒌⑹	dwellers
⑵⑼⑭⑪⑬⑩	dwelling
⑵⒂⑿⑯⑫⒄	dynamo
⒀⑶⒌⑿⑯⑥	eagerness
⒋⑪⑬⑯⑥②	earliest
⒋⑤⑯⑿⑼⒊	earthenware
⒋⑤③⑼⒁③	earthquake
⒋⑤⑼⒋③⑥	earthworks
⒋⑤⑼⒋⑫⑹	earthworms
⒀⑹⑬⑯⑥②	easiest
⒀⑥②⒌⑪⑬	easterly
⒀⑥②⑼⒌⑵	eastward
⑬③⑪⑬①⑥	eclipse
⑭③⑥⑬⑫⑯	eczema
⑭⑵⑯⑴⑯⑪	edible
⑭⑵⑬④⑬⑥	edifice
⑭⑵⑬②⑯⑵	edited
⑭⑵⑬②⑬⑩	editing
⑬⑵⑬⑦⑯⑿	edition
⑭⑵⑬②⒌⑹	editors
⑭⑻⑯③⒁②	educate
⑬④⑭③②⑥	effects
⑭④⑬⑻⑬⑹	effigies
⒂⑵⒌⑵⑲⑿	eiderdown
⑬⑪⑮①⑥②	elapsed
⑬⑪⒁⑦⑯⑿	elation
⑭⑪⑵⒌⑪⑬	elderly
⑭⑪⑵⑯⑥②	eldest
⑬⑪⑭③②⒌	elector
⑬⑪⑭③②⑥	elects
⑭⑪⑬⑷⒁②	elevate
⑬⑪⑭⑷⑯⑿	eleven
⑬⑪⑬⑥⑬②	illicit
⑬⑪⒅⑵⑯⑵	eluded
⑬⑪⒅⑥⑬⑷	elusive
⑬⑫⑴⑳⑫⒌	embalmer
⑬⑫⑴⒈⑶⒄	embargo
⑬⑫⑴⒈③②	embarked
⑭⑫⑴⑯⑥⑬	embassy
⑭⑫⑴⑪⑯⑫	emblem
⑬⑫⑴⑰⑵⑬	embody
⑬⑫⑴⑾⒁⑥	embrace
